player,elo,hard_elo,clay_elo,grass_elo,52_swon,52_svpt,52_rwon,52_rpt,52_s_pct,52_r_pct,52_s_pct_EM,52_r_pct_EM
Novak Djokovic,2420.33527565,2363.82421923,2358.5892442,2204.65685495,1646.0,2511.0,1111.0,2585.0,0.655515730785,0.429787234043,0.65466951652,0.428351715987
Roger Federer,2399.32942722,2353.31515486,2130.50902017,2166.26983369,2910.0,3990.0,1810.0,4580.0,0.729323308271,0.39519650655,0.72813280478,0.394732495719
Andy Murray,2320.98848312,2267.45159409,2211.84860153,2153.04742817,1228.0,1942.0,790.0,1919.0,0.632337796087,0.411672746222,0.631729201962,0.410185508994
Rafael Nadal,2318.476845,2187.83662977,2413.92100698,1897.89985734,3172.0,4514.0,2179.0,4990.0,0.702702702703,0.436673346693,0.701844161757,0.435858741145
Juan Martin,2185.58115059,2120.19181771,2057.22040989,1843.39633684,2817.0,4219.0,1626.0,4423.0,0.667693766295,0.367623784761,0.667074548609,0.367434397548
Kei Nishikori,2175.22101608,2105.33074066,2105.91669187,1863.22225615,1611.0,2517.0,1052.0,2620.0,0.640047675805,0.401526717557,0.639470593845,0.400609782145
Grigor Dimitrov,2152.51131857,2099.18594609,1846.66971574,1797.77704807,3197.0,4751.0,1802.0,4855.0,0.672910966112,0.371163748713,0.67229901986,0.370956992337
Nick Kyrgios,2144.66340962,2094.0519673,1909.19180375,1816.76982403,2459.0,3483.0,1249.0,3628.0,0.706000574218,0.344266813671,0.704783714681,0.344336207931
Alexander Zverev,2128.472428,2015.70227299,2063.54632626,1861.37940272,3736.0,5562.0,2063.0,5564.0,0.671700827041,0.370776419842,0.671175830738,0.37059904392
Stanislas Wawrinka,2122.07567882,2052.47291175,2146.79509159,1736.0380785,1723.0,2649.0,916.0,2519.0,0.650434126085,0.363636363636,0.649654228624,0.363379744871
Milos Raonic,2113.73846557,2047.98897204,2003.62179002,1948.47999432,1677.0,2380.0,865.0,2521.0,0.704621848739,0.343117810393,0.702903794705,0.343238218505
David Goffin,2111.95367648,2011.73217303,2021.87451421,1719.22829601,3691.0,5689.0,2270.0,5702.0,0.648795921955,0.398105927745,0.648460686028,0.397708604481
Marin Cilic,2099.50294161,1970.7497603,1983.81138742,1996.73129357,3502.0,5058.0,2146.0,5482.0,0.692368525109,0.391462969719,0.691669526146,0.391106503045
Jo Wilfried,2097.3283581,2027.90797862,2006.86493809,1891.37520075,2264.0,3291.0,1342.0,3603.0,0.687936797326,0.372467388288,0.686931706542,0.372172870146
Tomas Berdych,2090.44460285,2001.37553391,2028.15725514,1882.07796361,2570.0,3830.0,1369.0,3750.0,0.671018276762,0.365066666667,0.670250291624,0.364875475061
Gael Monfils,2050.87372647,2022.12691794,1908.46233412,1763.09043615,1723.0,2700.0,1051.0,2732.0,0.638148148148,0.384699853587,0.637624752409,0.384105436946
